,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48,X
A4galt,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,3.299581542,3.000460912,3.609032603,4.244896377,4.647626496,4.120195526,4.617764911,4.097834408,4.224502822,4.417795661,4.151469238,4.535112636,4.293468905,3.061240442,4.473520479,4.413525649,2.95140842,4.992511252,A4galt
Aagab,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,4.613613167,4.244137751,4.622858517,4.425460974,4.054342423,4.347834719,4.617764911,4.324913771,3.916640775,3.76130772,4.259790498,4.413259279,4.848326163,4.768494761,4.785818187,4.54830738,4.545590502,4.798989404,Aagab
Aak1,5.253551677,5.702859742,6.118199725,5.752607734,5.340046223,5.624080875,7.015316401,5.499029212,5.412888587,6.467237716,6.243610283,5.808118432,5.862110719,6.238371134,5.840738773,5.626802305,6.202812638,6.301840663,5.090097042,5.482535095,5.766362385,5.717394287,5.656111495,5.657734952,Aak1
Aamdc,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,1.338428307,6.396455975,6.306735223,5.629722101,5.79739455,5.862107755,6.388376329,6.025049874,6.091727184,5.928446585,5.895414195,6.166164925,6.231474178,6.146717947,5.941046524,5.835818669,5.929847046,6.022459556,6.025385573,Aamdc
Aars1,4.715630049,4.771253245,4.797817961,4.10521418,3.784622049,4.862231199,6.959860463,6.595117318,6.906748947,6.42541795,6.555876733,5.702286731,6.608456856,6.561789047,6.471567071,6.063479344,6.82505917,5.96853571,6.064137172,6.176850757,6.246181877,6.477931732,6.457984455,6.218405434,Aars1
Aasdh,3.081572882,4.159330946,3.850840237,3.998826378,3.924829045,4.660593896,3.299581542,3.185440987,4.148071243,2.923065799,6.534114672,4.035567372,6.025049874,7.336303324,5.195952493,5.485941911,6.663539526,4.026756568,3.704859078,3.492618638,3.729791678,4.008424351,3.295363154,3.859711011,Aasdh
Aasdhppt,4.715630049,5.053452623,4.348957116,4.687889044,4.562361642,4.508587871,3.688770616,4.285219838,4.148071243,3.981874974,3.786291937,4.689944902,5.080011809,4.215837255,4.153474932,4.253682098,4.392622838,4.78484354,5.434940843,5.226416599,5.042396434,4.54830738,5.563852971,4.575427126,Aasdhppt
Aatf,4.631747522,4.570956638,4.634628296,5.04944123,4.79942884,5.039111609,4.814558332,4.158288161,5.412888587,4.659917623,2.755823592,5.011293111,3.819658373,2.788043745,3.064573017,3.76130772,2.741097375,4.184069066,4.912672109,4.914800602,4.07439213,4.264842232,4.937470404,4.798989404,Aatf
Abca5,4.794902232,5.245180591,6.118199725,5.50304356,6.071030878,5.50860253,4.539890388,4.067004931,5.212400367,4.659917623,6.243610283,5.527385442,5.349773684,6.421458441,5.362670076,5.362429433,5.660082887,5.369370132,4.636038786,4.768494761,4.473520479,4.099056113,4.66882231,5.163117817,Abca5
Abca9,4.447760679,4.42009171,5.730701767,4.617728643,5.124300144,5.383070315,5.148026905,5.122017204,4.701585051,5.507892858,6.102872348,5.397770246,6.346044859,6.561789047,6.18734167,5.515235755,5.606382413,5.751037975,5.81757929,6.14250871,5.813036104,5.96232151,5.742823143,6.812814403,Abca9
Abcb10,5.985933611,5.001256828,5.883916478,6.125566794,5.842578269,5.798111813,5.498711027,5.292899992,5.629722101,5.425432291,5.238110164,5.011293111,4.54799399,3.296560966,4.966566763,4.56513269,4.034349887,4.647470763,6.021003746,5.16924672,5.3889829,6.147209264,5.322432332,5.869766552,Abcb10
Abcb6,5.009518072,4.33829864,5.012474153,5.101781363,4.645788032,5.292871475,4.875767514,4.901965201,5.629722101,5.467251647,5.529619251,4.966278871,5.265336111,4.91920472,5.362670076,4.82113958,4.961904582,5.412413208,4.085896755,3.492618638,4.585301305,4.890380923,4.60852178,4.93084392,Abcb6
Abcb7,6.692805963,6.307911196,6.736749708,6.935805934,6.186977373,6.614809784,6.53571773,6.793245449,7.108028909,6.695504664,7.045645763,6.970193881,6.754996983,7.064730146,6.972280949,7.225109202,7.072855422,6.878998915,6.621213611,7.012047517,7.114252457,7.043491804,6.708351036,6.621141796,Abcb7
