,AZ_F1_11_a,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_3_f,AZ_F1_7_d,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
A4galt,2.754398263,4.037173856,3.95751696,3.654559261,3.904915307,3.693010856,3.305043505,3.014743213,3.601561341,4.251396128,4.661921909,4.126792675,4.632569424,4.122809418,4.239676365,4.442533468,4.164712966,4.559180139,4.304432686,3.07877717,4.488627598,4.411320956,2.956275781,5.0067929
Aagab,4.134527727,4.09391477,3.620435528,3.867318814,4.506166196,3.441500141,4.613268578,4.253317193,4.609927818,4.431471934,4.069726052,4.353763736,4.632569424,4.349679511,3.932490782,3.786704995,4.272792533,4.437426095,4.858228257,4.781261694,4.800468942,4.545671673,4.541118774,4.813507463
Aak1,5.410198209,5.855675997,6.236880728,5.873267313,5.472810719,5.744851172,7.011794642,5.506036074,5.397693262,6.470469795,6.256472814,5.811556277,5.87568332,6.262234757,5.853994388,5.650890428,6.213519105,6.325112205,5.099649705,5.494478464,5.780081376,5.712312054,5.649146485,5.671408055
Aamdc,3.501276224,2.847531535,3.179783313,1.702536816,3.422206653,2.890566517,6.393331841,6.313069648,5.614092933,5.801153754,5.875184776,6.391342717,6.038526338,6.115625698,5.9416474,5.91941816,6.176892167,6.254762282,6.155275647,5.95263961,5.849492644,5.924496276,6.015011718,6.038824924
Aars1,4.868477349,4.918746617,4.911798666,4.216944192,3.904915307,4.979805084,6.956367797,6.601289346,6.889547467,6.428676271,6.568601338,5.705832916,6.621665842,6.585587175,6.484493579,6.087438086,6.835482712,5.991893367,6.072749159,6.188302641,6.259629872,6.472045835,6.450101268,6.23174392
Aars2,3.990930447,3.852191142,3.95751696,4.216944192,3.57064909,3.613947582,4.613268578,3.361762895,2.740076324,3.668541594,3.276495212,3.39572513,4.489703269,3.522064715,3.004024858,3.786704995,3.185662771,1.948471605,4.397788606,4.334248956,4.367658392,4.608429072,4.72168399,3.584266797
Aasdh,3.208473046,4.300890143,3.95751696,4.109549119,4.046879388,4.776997312,3.305043505,3.198661826,4.137230398,2.935782716,6.546847952,4.042440962,6.038526338,7.359993177,5.209731547,5.510080841,6.674025225,4.051300032,3.717496546,3.508380306,3.746479132,4.007785157,3.297274961,3.875955929
Aasdhppt,4.868477349,5.202936167,4.460069208,4.803984284,4.690544425,4.623993467,3.691938787,4.294294371,4.137230398,3.989205279,3.80233416,4.695048229,5.094232058,4.240699416,4.168792015,4.278557808,4.405352173,4.808731913,5.444086196,5.238609844,5.056739454,4.545671673,5.557030111,4.590260786
Aatf,4.783862892,4.716779541,4.747668312,5.167476778,4.929279442,5.157585204,4.813704698,4.167696694,5.397693262,4.665378488,2.775909185,5.015780036,3.836036295,2.815142336,3.08325371,3.786704995,2.759870233,4.208446981,4.922475423,4.927364131,4.090246198,4.26316196,4.931894548,4.813507463
Abca3,2.564551229,2.973840064,3.416868354,2.720246379,3.001640788,3.018868753,4.102623853,4.334139738,4.762764897,3.668541594,3.473845058,3.95284941,4.054830464,4.797293935,3.932490782,3.786704995,3.964373405,5.103770221,3.394086447,3.838977715,4.600233637,4.098027721,4.258731964,4.507446727
