,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ME_F1_106_c,ME_F1_108_d,ME_F1_203_a,ME_F1_204_a,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
A4galt,3.305043505,3.014743213,3.601561341,4.251396128,4.661921909,4.126792675,4.632569424,4.122809418,4.239676365,4.442533468,4.164712966,4.559180139,3.767979488,2.690841487,4.069168661,5.145922097,4.304432686,3.07877717,4.488627598,4.411320956,2.956275781,5.0067929
Aagab,4.613268578,4.253317193,4.609927818,4.431471934,4.069726052,4.353763736,4.632569424,4.349679511,3.932490782,3.786704995,4.272792533,4.437426095,4.211609673,3.952801774,4.740088558,4.162122166,4.858228257,4.781261694,4.800468942,4.545671673,4.541118774,4.813507463
Aak1,7.011794642,5.506036074,5.397693262,6.470469795,6.256472814,5.811556277,5.87568332,6.262234757,5.853994388,5.650890428,6.213519105,6.325112205,5.997637358,5.689230009,4.81476895,6.266334011,5.099649705,5.494478464,5.780081376,5.712312054,5.649146485,5.671408055
Aamdc,6.393331841,6.313069648,5.614092933,5.801153754,5.875184776,6.391342717,6.038526338,6.115625698,5.9416474,5.91941816,6.176892167,6.254762282,5.955499928,5.98196945,5.784520522,5.189822454,6.155275647,5.95263961,5.849492644,5.924496276,6.015011718,6.038824924
Aars1,6.956367797,6.601289346,6.889547467,6.428676271,6.568601338,5.705832916,6.621665842,6.585587175,6.484493579,6.087438086,6.835482712,5.991893367,6.466273171,6.49648621,6.945695004,6.475883013,6.072749159,6.188302641,6.259629872,6.472045835,6.450101268,6.23174392
Aars2,4.613268578,3.361762895,2.740076324,3.668541594,3.276495212,3.39572513,4.489703269,3.522064715,3.004024858,3.786704995,3.185662771,1.948471605,4.00677991,3.827340664,3.80179745,3.356891171,4.397788606,4.334248956,4.367658392,4.608429072,4.72168399,3.584266797
Aasdh,3.305043505,3.198661826,4.137230398,2.935782716,6.546847952,4.042440962,6.038526338,7.359993177,5.209731547,5.510080841,6.674025225,4.051300032,4.00677991,3.175742315,2.440240046,3.869977924,3.717496546,3.508380306,3.746479132,4.007785157,3.297274961,3.875955929
Aasdhppt,3.691938787,4.294294371,4.137230398,3.989205279,3.80233416,4.695048229,5.094232058,4.240699416,4.168792015,4.278557808,4.405352173,4.808731913,4.112826886,3.760266337,4.006826441,4.117357422,5.444086196,5.238609844,5.056739454,4.545671673,5.557030111,4.590260786
Aatf,4.813704698,4.167696694,5.397693262,4.665378488,2.775909185,5.015780036,3.836036295,2.815142336,3.08325371,3.786704995,2.759870233,4.208446981,4.624008971,3.53802009,4.395420563,5.053898375,4.922475423,4.927364131,4.090246198,4.26316196,4.931894548,4.813507463
Abca3,4.102623853,4.334139738,4.762764897,3.668541594,3.473845058,3.95284941,4.054830464,4.797293935,3.932490782,3.786704995,3.964373405,5.103770221,3.892314964,5.011296301,4.578023067,4.736304858,3.394086447,3.838977715,4.600233637,4.098027721,4.258731964,4.507446727
