,LN_F1_121_d,LN_F1_201_b,LN_F1_201_k,LN_F1_201_n,LN_F1_202_b,LN_F1_202_k,LS_F1_202_g,LS_F1_202_k,LS_F1_206_e,LS_F1_206_n,LS_F1_207_c,LS_F1_208_b,ML_F1_10_a,ML_F1_201_d,ML_F1_205_b,ML_F1_205_c,ML_F1_208_b,ML_F1_8_c,PO_006,PO_045,PO_051,PO_14,PO_19,PO_48
A4galt,3.305043505,3.014743213,3.601561341,4.251396128,4.661921909,4.126792675,4.632569424,4.122809418,4.239676365,4.442533468,4.164712966,4.559180139,4.706569482,4.857647467,4.3393853,5.856426893,5.042075585,4.332383444,4.304432686,3.07877717,4.488627598,4.411320956,2.956275781,5.0067929
Aagab,4.613268578,4.253317193,4.609927818,4.431471934,4.069726052,4.353763736,4.632569424,4.349679511,3.932490782,3.786704995,4.272792533,4.437426095,2.378891492,2.120376957,3.229339583,3.072792283,2.453929711,2.608633188,4.858228257,4.781261694,4.800468942,4.545671673,4.541118774,4.813507463
Aak1,7.011794642,5.506036074,5.397693262,6.470469795,6.256472814,5.811556277,5.87568332,6.262234757,5.853994388,5.650890428,6.213519105,6.325112205,5.085412132,5.486606676,4.89483884,5.577172877,5.042075585,4.939232595,5.099649705,5.494478464,5.780081376,5.712312054,5.649146485,5.671408055
Aamdc,6.393331841,6.313069648,5.614092933,5.801153754,5.875184776,6.391342717,6.038526338,6.115625698,5.9416474,5.91941816,6.176892167,6.254762282,6.585357596,6.414900497,6.472964969,6.250672533,6.409247234,6.16873986,6.155275647,5.95263961,5.849492644,5.924496276,6.015011718,6.038824924
Aars1,6.956367797,6.601289346,6.889547467,6.428676271,6.568601338,5.705832916,6.621665842,6.585587175,6.484493579,6.087438086,6.835482712,5.991893367,2.378891492,2.610805952,2.735979671,2.015882001,2.011990664,1.371671746,6.072749159,6.188302641,6.259629872,6.472045835,6.450101268,6.23174392
Aars2,4.613268578,3.361762895,2.740076324,3.668541594,3.276495212,3.39572513,4.489703269,3.522064715,3.004024858,3.786704995,3.185662771,1.948471605,4.777027123,4.670871519,4.827427718,5.285479123,4.512684531,4.564196545,4.397788606,4.334248956,4.367658392,4.608429072,4.72168399,3.584266797
Aasdh,3.305043505,3.198661826,4.137230398,2.935782716,6.546847952,4.042440962,6.038526338,7.359993177,5.209731547,5.510080841,6.674025225,4.051300032,4.384282689,4.670871519,4.959240231,4.773441419,4.838445828,5.019519767,3.717496546,3.508380306,3.746479132,4.007785157,3.297274961,3.875955929
Aasdhppt,3.691938787,4.294294371,4.137230398,3.989205279,3.80233416,4.695048229,5.094232058,4.240699416,4.168792015,4.278557808,4.405352173,4.808731913,2.378891492,1.371671746,3.003647009,2.798554001,2.453929711,2.118851082,5.444086196,5.238609844,5.056739454,4.545671673,5.557030111,4.590260786
Aatf,4.813704698,4.167696694,5.397693262,4.665378488,2.775909185,5.015780036,3.836036295,2.815142336,3.08325371,3.786704995,2.759870233,4.208446981,2.966252568,2.976147538,3.888590516,3.501713369,3.66760506,3.713955523,4.922475423,4.927364131,4.090246198,4.26316196,4.931894548,4.813507463
Abca3,4.102623853,4.334139738,4.762764897,3.668541594,3.473845058,3.95284941,4.054830464,4.797293935,3.932490782,3.786704995,3.964373405,5.103770221,2.966252568,3.898238637,2.735979671,3.501713369,3.963366263,3.264657852,3.394086447,3.838977715,4.600233637,4.098027721,4.258731964,4.507446727
Abca5,4.539751014,4.076672438,5.197668398,4.665378488,6.256472814,5.531129025,5.363730031,6.445283195,5.376290653,5.38661718,5.671158109,5.392942691,4.844203419,5.368625433,6.193984704,4.694484842,5.104030055,4.939232595,4.646299803,4.781261694,4.488627598,4.098027721,4.663970644,5.177215762
Abca9,5.146470047,5.129492315,4.68836933,5.511967341,6.115807491,5.401676334,6.359360911,6.585587175,6.200398854,5.539363707,5.617502233,5.774463555,5.594753749,6.29064075,6.589450835,5.703523082,6.048708698,6.186238391,5.826373125,6.153979751,5.826724606,5.956933062,5.735732555,6.825914935
Abcb10,5.496570353,5.300147683,5.614092933,5.429608761,5.251686577,5.015780036,4.56290408,3.322602624,4.980596039,4.589759361,4.047876135,4.67145383,5.139900778,5.368625433,3.888590516,6.090294113,4.838445828,5.693471543,6.029645347,5.181502053,5.402988203,6.141621722,5.316027384,5.883297636
Abcb6,4.87477236,4.909775724,5.614092933,5.471375667,5.542935482,4.970844111,5.279369826,4.943555875,5.376290653,4.845598174,4.973711621,5.435967182,4.554406978,4.05924156,4.43306727,4.522291406,4.091235642,4.76386698,4.097374823,3.508380306,4.600233637,4.88681567,4.603851987,4.945197493
Abcb7,6.532488715,6.799323291,7.090683497,6.698606168,7.058206053,6.972844165,6.768154126,7.088451558,6.985031463,7.248865515,7.083196155,6.902161199,6.057938485,6.870511978,6.70664034,6.468023318,6.756522083,6.350455683,6.629512999,7.023149843,7.127389864,7.037230267,6.70027099,6.634308646
Abcb8,5.096070484,5.359275011,5.692314328,5.149900295,3.276495212,5.101659137,3.578024412,3.853482834,4.307240435,3.786704995,4.126809047,2.940262517,4.554406978,4.05924156,4.239194987,3.831907934,4.601275842,5.095573454,4.790986096,5.446806885,4.703822401,4.726303758,4.663970644,5.177215762
Abcc1,6.869018015,6.868794007,6.786326701,6.999120107,7.204320465,6.597547577,6.843536984,7.040487568,6.953748203,6.599416286,7.303067011,7.40269986,7.268475403,7.536569623,7.878218001,7.26745629,7.64850883,7.229520019,7.195365459,6.922180849,6.862241551,6.809108701,6.248896558,6.746892153
