,AZ_F1_11_a,AZ_F1_201_c,AZ_F1_202_b,AZ_F1_202_c,AZ_F1_202_d,AZ_F1_203_a,AZ_F1_203_e,AZ_F1_203_f,AZ_F1_203_g,AZ_F1_203_h,AZ_F1_206_a,AZ_F1_207_c,AZ_F1_3_b,AZ_F1_3_f,AZ_F1_3_g,AZ_F1_7_b,AZ_F1_7_c,AZ_F1_7_d
LOC121827003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdx3,9,9,3,9,17,12,5,4,9,5,9,2,5,4,2,6,12,5
Dennd10,10,11.67,14,20,15,11,10.67,12,10,22.53,12,15,13,13.33,11,8.33,6.33,23
Eif3a,214.5,256.5,215,250.5,318,279,231.5,243,316,321,231,232.5,256.5,193.5,206.5,322.5,244.5,251
LOC121827005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121827004,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
Nanos1,0,0,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
LOC121824707,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
LOC121824711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacul1,75,54,63,75,71,91,65,91,85,76,108,81,67,67,53,98,68,79
LOC121824708,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
Prlhr,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
Fam204a,74.5,51.7,68.5,112.5,95,103.5,68,80,85,83.5,86.5,85.5,60,89,68.5,95,74,82.5
LOC121822455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121828181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121830583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emx2,0,1,1,0,4,0,1,1,0,6,3,0,0,3,4,0,0,3
LOC121824731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC121824733,0,0,0,1,1,0,0,0,1,4,1,0,0,0,1,1,1,1
LOC121821209,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
LOC121824738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pdzd8,13,18,19,26,38,20,22,20,23,42,34,14,29,19,21,36,30,34
Slc18a2,8,10,4,6,10,11,11,14,13,15,11,13,6,10,7,9,6,18
LOC107401386,1,1,0,0,2,0,1,1,2,1,2,3,0,0,0,0,1,4
Kcnk18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102906185,20.03,18.05,17.8,21.28,22.03,26.48,19.15,15.9,16.85,14.25,15.28,18.93,19.65,15.48,18.85,26.2,13.78,18.55
Vax1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0
