Mouse_ID,Species,Strain,Sex,Family,DOB,Habitat,Treatment,Replicate,Cage_ID,DOD,Comments,Elevation,Mass,hb,hct,heart,lv_sep,rv,lungs_wet,BAT,Start_Mass,Final_V02max,InitialVO2max
AZ_F1_11_a,P. aztecus,AZ,F,AZ-11,8/26/15,highland,1000,2,AZ_1000-2,7/3/16,,2700,49.9,10.3,0.414670165,0.1768,0.1177,0.0357,0.2844,0.237,47.7,3.971780091,4.956133641
AZ_F1_201_a,P. aztecus,AZ,M,AZ-201,1/6/16,highland,1000,1,AZ_1000-1,7/2/16,inbred,2700,45.1,13.1,NA,0.1455,0.0974,0.0201,0.2981,0.153,40.6,3.353995095,4.13446564
AZ_F1_201_b,P. aztecus,AZ,M,AZ-201,1/6/16,highland,3000,1,AZ_3000-1,7/4/16,inbred,2700,39.5,12.9,0.491956395,0.1397,0.0825,0.0221,0.2765,NA,34.8,3.424918954,3.389420613
AZ_F1_201_c,P. aztecus,AZ,M,AZ-201,1/6/16,highland,4500,1,AZ_4500-1,7/6/16,inbred,2700,43.2,15.9,0.539638673,0.1676,0.0966,0.0342,0.3238,0.1749,40.8,3.952822824,4.126698803
AZ_F1_202_b,P. aztecus,AZ,F,AZ-202,1/2/16,highland,3000,3,AZ_3000-3,,,2700,48.7,13,0.442301887,0.1626,NA,NA,0.3203,NA,56.3,4.215211383,5.983902468
AZ_F1_202_c,P. aztecus,AZ,F,AZ-202,3/7/16,highland,3000,2,AZ_3000-2,7/5/16,,2700,35,14.2,0.527622787,0.1266,0.0862,0.0195,0.219,0.1365,32.6,3.540076019,2.980231567
AZ_F1_202_d,P. aztecus,AZ,M,AZ-202,3/7/16,highland,4500,3,AZ_4500-3,,exome capture,2700,42.4,15.7,0.513731963,0.1407,NA,NA,0.3076,NA,41.5,3.701089251,4.745073733
AZ_F1_202_h,P. aztecus,AZ,M,AZ-202,5/18/16,highland,4500,3,AZ_4500-3,,,2700,47,13.5,0.520927189,0.1437,NA,NA,0.2735,NA,43.7,4.370107515,5.022163107
AZ_F1_202_i,P. aztecus,AZ,M,AZ-202,7/22/16,highland,1000,3,AZ_1000-3,,,2700,48.1,11.1,0.442220885,0.1675,NA,NA,0.2686,NA,45.4,5.355994433,6.710123522
AZ_F1_203_a,P. aztecus,AZ,M,AZ-203,1/12/16,highland,1000,1,AZ_1000-1,7/2/16,,2700,40.9,9.6,0.428162486,0.1383,0.0794,0.028,0.2377,0.0398,36.1,3.358891636,3.51109033
AZ_F1_203_b,P. aztecus,AZ,M,AZ-203,1/12/16,highland,3000,1,AZ_3000-1,7/4/16,,2700,39.8,15.1,0.51362761,0.1314,0.0799,0.0298,0.2685,0.2128,35.7,3.569381237,6.774302046
